Name,City,State,Zip,County,IsPrivate,Level,LowGrade,HighGrade,RankStars,PupilTeacherRatio
Browne Academy,Alexandria,VA,22310,Fairfax County,True,Private,PK,8,n/a,5.0
Early Childhood Center,Alexandria,VA,22311,Alexandria city,False,Elementary,PK,PK,n/a,Unknown
Alternative Learning Center At Montrose,Alexandria,VA,22312,Fairfax County,False,,,,n/a,n/a
Bishop Ireton High School,Alexandria,VA,22314,Alexandria city,True,Private,9,12,n/a,10.5
Chesterbrook Academy,Kingstowne,VA,22315,Fairfax County,True,Private,PK,K,n/a,n/a
Fredericksburg Christian School - Lower School,Fredericksburg,VA,22401,Fredericksburg city,True,Private,PK,5,n/a,17.0
Childrens House Of Old Town Montessori School,Fredericksburg,VA,22405,Stafford County,True,Private,PK,K,n/a,1.6
Alternative Paths Training School -Staff East/West,Fredericksburg,VA,22406,Stafford County,True,Private,1,12,n/a,5.5
Battlefield Elementary,Fredericksburg,VA,22407,Spotsylvania County,False,Elementary,PK,5,2,17.0
Cedar Forest Elementary,Fredericksburg,VA,22408,Spotsylvania County,False,Elementary,PK,5,3,15.5
Colonial Beach Elementary,Colonial Beach,VA,22443,Westmoreland County,False,Elementary,PK,7,2,22.1
Cople Elementary,Hague,VA,22469,Westmoreland County,False,Elementary,PK,5,1,14.1
Northumberland Elementary,Heathsville,VA,22473,Northumberland County,False,Elementary,PK,5,3,11.0
Chesapeake Academy,Irvington,VA,22480,Lancaster County,True,Private,PK,8,n/a,7.9
Lancaster Early Childhood Education Center,Kilmarnock,VA,22482,Lancaster County,False,Elementary,PK,PK,n/a,20.7
King George Elementary,King George,VA,22485,King George County,False,Elementary,PK,5,2,13.5
Lancaster High,Lancaster,VA,22503,Lancaster County,False,High,8,12,2,12.4
Locust Grove Elementary,Locust Grove,VA,22508,Orange County,False,Elementary,3,5,2,17.3
Bowling Green Elementary,Milford,VA,22514,Caroline County,False,Elementary,PK,5,1,14.8
Montross Middle,Montross,VA,22520,Westmoreland County,False,Middle,6,8,4,9.7
Caroline High,Milford,VA,22546,Caroline County,False,High,9,12,1,15.5
Berkeley Elementary,Spotsylvania,VA,22551,Spotsylvania County,False,Elementary,PK,5,3,13.3
Brock Road Elementary,Spotsylvania,VA,22553,Spotsylvania County,False,Elementary,PK,5,3,18.9
Anthony Burns Elementary,Stafford,VA,22554,Stafford County,False,Elementary,PK,5,1,14.6
Rappahannock Juvenile Detention Home,Stafford,VA,22555,Stafford County,False,,,,n/a,n/a
Andrew G. Wright Middle,Stafford,VA,22556,Stafford County,False,Middle,6,8,2,13.5
Chesapeake Bay Governor's School,Tappahannock,VA,22560,Essex County,False,,,,n/a,Unknown
Lightfoot Elementary,Unionville,VA,22567,Orange County,False,Elementary,3,5,1,14.3
Mackey-Thompson Learning Center,Warsaw,VA,22572,Richmond County,False,,,,n/a,n/a
Daniel Morgan Intermediate,Winchester,VA,22601,Winchester city,False,Middle,5,6,n/a,11.3
Admiral Richard E. Byrd Middle,Winchester,VA,22602,Frederick County,False,Middle,6,8,2,14.9
Apple Pie Ridge Elementary,Winchester,VA,22603,Frederick County,False,Elementary,PK,5,1,12.4
Clarke County High,Berryville,VA,22611,Clarke County,False,High,9,12,4,13.2
Boyce Elementary,Boyce,VA,22620,Clarke County,False,Elementary,PK,5,1,13.3
Stonewall Elementary,Clear Brook,VA,22624,Frederick County,False,Elementary,PK,5,1,12.0
Timber Ridge School,Cross Junction,VA,22625,Frederick County,True,Private,8,12,n/a,4.0
A.S. Rhodes Elementary,Front Royal,VA,22630,Warren County,False,Elementary,PK,5,4,15.8
Wakefield County Day School,Huntly,VA,22640,Rappahannock County,True,Private,PK,12,n/a,8.0
Middletown Elementary,Middletown,VA,22645,Frederick County,False,Elementary,PK,5,2,14.9
Springfield Elementary,Rileyville,VA,22650,Page County,False,Elementary,PK,5,4,13.3
Bass-Hoover Elementary,Stephens City,VA,22655,Frederick County,False,Elementary,PK,5,2,16.2
Jordan Springs Elementary,Stephenson,VA,22656,Frederick County,False,Elementary,PK,5,3,15.2
Sandy Hook Elementary,Strasburg,VA,22657,Shenandoah County,False,Elementary,PK,5,3,13.5
Robert E. Aylor Middle,White Post,VA,22663,Frederick County,False,Middle,6,8,2,17.0
Central High,Woodstock,VA,22664,Shenandoah County,False,High,9,12,2,13.9
A.G. Richardson Elementary,Culpeper,VA,22701,Culpeper County,False,Elementary,PK,5,3,14.3
Oak Grove Mennonite School,Aroda,VA,22709,Madison County,True,Private,K,12,n/a,10.5
Cedar Lee Middle,Bealeton,VA,22712,Fauquier County,False,Middle,6,8,1,11.4
Village Academy At Childhelp East,Lignum,VA,22726,Culpeper County,True,Private,1,8,n/a,6.1
Madison County High,Madison,VA,22727,Madison County,False,High,9,12,2,13.5
Alternative Education Center,Midland,VA,22728,Fauquier County,False,,,,n/a,0.0
Hartland Day Academy,Rapidan,VA,22733,Madison County,True,Private,K,10,n/a,5.3
Margaret M. Pierce Elementary,Remington,VA,22734,Fauquier County,False,Elementary,PK,5,1,16.2
Belle Meade Montessori School,Sperryville,VA,22740,Rappahannock County,True,Private,PK,12,n/a,7.9
Rappahannock County Elementary,Washington,VA,22747,Rappahannock County,False,Elementary,PK,7,2,11.8
Berea Christian School,Harrisonburg,VA,22801,Rockingham County,True,Private,1,12,n/a,11.4
Calvary Christian Academy,Harrisonburg,VA,22802,Rockingham County,True,Private,K,12,n/a,12.2
Blue Ridge Christian School,Bridgewater,VA,22812,Rockingham County,True,Private,PK,12,n/a,10.1
Broadway High,Broadway,VA,22815,Rockingham County,False,High,9,12,3,14.5
Edgewood School,Dayton,VA,22821,Rockingham County,True,Private,1,8,n/a,21.5
Charterhouse School - Edinburg,Edinburg,VA,22824,Shenandoah County,True,Private,K,12,n/a,3.5
East Rockingham High,Elkton,VA,22827,Rockingham County,False,High,9,12,3,15.9
Fulks Run Elementary,Fulks Run,VA,22830,Rockingham County,False,Elementary,PK,5,1,11.7
Redeemer Classical School,Keezletown,VA,22832,Rockingham County,True,Private,PK,10,n/a,9.0
Linville-Edom Elementary,Linville,VA,22834,Rockingham County,False,Elementary,PK,5,2,12.8
Luray Elementary,Luray,VA,22835,Page County,False,Elementary,PK,5,1,12.7
McGaheysville Elementary,McGaheysville,VA,22840,Rockingham County,False,Elementary,PK,5,2,13.5
Massanutten Regional Governor's School,Mount Jackson,VA,22842,Shenandoah County,False,,,,n/a,Unknown
North River Elementary,Mount Solon,VA,22843,Augusta County,False,Elementary,PK,5,2,12.2
Shenandoah Valley Academy,New Market,VA,22844,Shenandoah County,True,Private,9,12,n/a,17.4
Cub Run Elementary,Penn Laird,VA,22846,Rockingham County,False,Elementary,PK,5,1,16.1
Honey Run Elementary,Quicksburg,VA,22847,Shenandoah County,False,Elementary,PK,4,2,14.1
Page County High,Shenandoah,VA,22849,Page County,False,High,9,12,3,13.1
